Nome,Email,cpf,telefone,Titulo,Domain,BreachDate,AddedDate,ModifiedDate,PwnCount,Description,LogoPath,DataClasses,IsVerified,IsFabricated,IsSensitive,IsRetired,IsSpamList,IsMalware,IsSubscriptionFree
Dra. Helena Cardoso,dra.helena.cardoso@example.com,582.496.170-02,+55 (031) 1627 3574,Email Leak,example.com,2023-10-27,2023-11-02,2023-11-13,8,Temporibus amet dolores veniam commodi reiciendis quidem. Nisi ipsam neque saepe.,/logos/example_com.png,Email addresses,True,True,True,True,True,True,False
Miguel Pereira,miguel.pereira@example.com,340.529.817-23,41 3538-4011,Data Breach,example.com,2023-10-14,2023-12-22,2024-01-01,1,Tempora autem vel neque voluptates sed culpa. Fuga optio voluptates numquam.,/logos/example_com.png,"Physical addresses, Passwords, Phone numbers",True,True,True,True,True,True,False
Alexandre Costela,alexandre.costela@testmail.com,536.704.219-80,+55 31 8269 9936,Data Breach,testmail.com,2022-08-11,2022-09-29,2022-10-02,7,Vel atque ratione in natus ullam odio quia. Minima iure repudiandae optio iste.,/logos/testmail_com.png,Physical addresses,False,True,False,False,True,False,False
Dra. Clarice Pinto,dra.clarice.pinto@example.com,017.253.846-71,61 9326-5395,Credential Dump,example.com,2021-12-09,2022-02-28,2022-03-25,7,Aliquid officia quis eos esse maiores labore.,/logos/example_com.png,"Email addresses, Passwords",True,False,False,True,True,True,True
Juliana Costela,juliana.costela@example.com,597.830.461-01,+55 (084) 1860 4946,Email Leak,example.com,2020-12-07,2021-02-13,2021-03-03,4,"At officia expedita. Commodi ea laudantium impedit optio adipisci.
Ab tenetur in necessitatibus.",/logos/example_com.png,"Phone numbers, Physical addresses, Usernames",True,False,True,False,True,False,True
Sr. Bruno Pinto,sr.bruno.pinto@example.com,681.943.520-70,71 8722-0440,Email Leak,example.com,2023-02-14,2023-04-15,2023-05-10,3,Suscipit reprehenderit omnis quidem fugit quos ut. Provident in possimus natus repellendus.,/logos/example_com.png,"Physical addresses, Passwords, Usernames",False,False,True,True,False,False,True
Stephany da Mata,stephany.da.mata@dataleak.org,962.451.378-37,0500-470-0775,Credential Dump,dataleak.org,2021-11-20,2021-12-11,2021-12-13,3,Dolor magni veritatis saepe debitis at. Mollitia eos corporis eum ipsum fugit.,/logos/dataleak_org.png,"Usernames, Email addresses",False,True,True,True,False,True,False
Rebeca Aragão,rebeca.aragão@example.com,439.260.718-69,+55 61 4081-0818,Email Leak,example.com,2022-03-20,2022-04-24,2022-05-17,1,Recusandae accusamus quia odit. Natus perferendis repellendus inventore harum aperiam.,/logos/example_com.png,"Email addresses, Physical addresses",True,False,False,True,True,True,True
Sr. Noah Farias,sr.noah.farias@dataleak.org,956.074.832-74,+55 41 3881-3946,Data Breach,dataleak.org,2021-12-31,2022-03-09,2022-03-23,5,Ipsum praesentium alias rerum. Laudantium illum eaque.,/logos/dataleak_org.png,Usernames,True,True,True,True,True,True,True
Srta. Eloah Caldeira,srta.eloah.caldeira@testmail.com,096.723.145-07,+55 (051) 0627-2099,Email Leak,testmail.com,2022-10-14,2023-01-02,2023-01-29,4,Eligendi quod doloribus eveniet a assumenda.,/logos/testmail_com.png,Passwords,True,True,True,True,True,True,False
Srta. Juliana Freitas,srta.juliana.freitas@dataleak.org,679.345.108-10,51 0668 9044,Data Breach,dataleak.org,2021-08-14,2021-08-20,2021-09-07,9,Cupiditate quo ipsum laborum amet ipsa inventore. Eaque quae ipsum adipisci.,/logos/dataleak_org.png,"Passwords, Email addresses",False,False,False,False,False,False,False
Nicolas Melo,nicolas.melo@testmail.com,746.285.901-76,+55 (031) 5333 0042,Credential Dump,testmail.com,2023-11-10,2023-12-21,2024-01-07,4,Ducimus tenetur repudiandae nihil.,/logos/testmail_com.png,"Passwords, Phone numbers, Usernames",False,True,True,False,False,True,True
Lorena Silveira,lorena.silveira@example.com,923.480.561-51,(084) 0070 4528,Email Leak,example.com,2023-06-12,2023-06-14,2023-06-20,1,Eius placeat dolores sapiente possimus ex. Praesentium ab eligendi repellat ut et.,/logos/example_com.png,Email addresses,False,False,True,True,False,False,False
Maria Cecília Alves,maria.cecília.alves@dataleak.org,803.591.672-68,+55 (021) 1675-7147,Data Breach,dataleak.org,2022-05-08,2022-08-05,2022-08-20,7,Ab voluptates tempora ut officia porro. Officia eligendi sint porro. Ex beatae nemo error.,/logos/dataleak_org.png,Phone numbers,False,True,True,True,True,False,False
Dr. Antônio Caldeira,dr.antônio.caldeira@testmail.com,517.904.623-80,(061) 2557 6301,Credential Dump,testmail.com,2021-05-30,2021-08-14,2021-08-27,2,Dolorem itaque sint quod at quas explicabo. Dolor nisi quasi ad vel iste quae.,/logos/testmail_com.png,Physical addresses,True,False,True,False,False,True,True
Alice Pereira,alice.pereira@dataleak.org,490.651.872-94,(051) 1897-0629,Email Leak,dataleak.org,2023-09-29,2023-11-29,2023-11-30,2,Cupiditate quaerat quaerat id. Soluta culpa hic sequi minima adipisci.,/logos/dataleak_org.png,"Email addresses, Physical addresses, Passwords",False,False,True,True,False,False,True
Sra. Clarice Viana,sra.clarice.viana@testmail.com,947.831.520-04,0300-769-2183,Credential Dump,testmail.com,2022-01-14,2022-02-09,2022-02-16,9,Ad nesciunt laborum eius molestias nulla consequuntur. Vero ullam soluta vero.,/logos/testmail_com.png,"Passwords, Usernames, Phone numbers",True,False,True,False,False,True,False
Leonardo da Rocha,leonardo.da.rocha@dataleak.org,416.289.573-28,+55 (071) 7229 1303,Data Breach,dataleak.org,2020-10-11,2021-01-05,2021-01-15,7,Nesciunt officiis omnis placeat magnam exercitationem esse. Harum labore ipsa laborum explicabo.,/logos/dataleak_org.png,Usernames,True,True,False,False,True,False,False
Emilly Gomes,emilly.gomes@example.com,821.749.356-19,+55 (081) 8371-7404,Email Leak,example.com,2021-09-14,2021-12-02,2021-12-15,2,Possimus harum assumenda quibusdam. Sequi repellat quo quo ratione impedit incidunt eos.,/logos/example_com.png,"Phone numbers, Passwords, Physical addresses",False,True,False,True,False,False,True
Marcela Pereira,marcela.pereira@example.com,972.431.568-19,51 4306 4238,Credential Dump,example.com,2020-11-05,2020-12-25,2021-01-07,5,Vitae magnam laboriosam. Placeat ducimus ut laboriosam quaerat nostrum.,/logos/example_com.png,Usernames,False,True,False,True,True,True,True
Leandro Souza,leandro.souza@dataleak.org,028.471.965-01,+55 31 4420-2007,Email Leak,dataleak.org,2020-07-11,2020-08-18,2020-09-14,3,Officiis sint labore rem nulla. Quisquam exercitationem doloremque molestiae assumenda ratione.,/logos/dataleak_org.png,"Email addresses, Usernames",True,False,True,False,True,False,True
Rafaela Peixoto,rafaela.peixoto@dataleak.org,894.026.753-29,11 3063 9083,Email Leak,dataleak.org,2021-08-17,2021-08-18,2021-08-29,9,Tenetur sit quos qui quaerat dolore. Odit expedita ipsam totam.,/logos/dataleak_org.png,"Phone numbers, Physical addresses",False,True,True,True,False,False,False
Dra. Heloísa Nogueira,dra.heloísa.nogueira@example.com,452.031.796-70,0800 242 7749,Email Leak,example.com,2023-02-06,2023-04-27,2023-05-17,2,Maiores id tempore ad veritatis asperiores. Numquam recusandae porro sit illum.,/logos/example_com.png,"Physical addresses, Phone numbers, Passwords",False,True,True,True,True,True,True
Joana Correia,joana.correia@dataleak.org,478.230.569-92,+55 (021) 8142 1293,Email Leak,dataleak.org,2024-04-18,2024-04-23,2024-04-24,3,Distinctio sed dignissimos alias beatae. Ratione quibusdam dicta error distinctio nemo.,/logos/dataleak_org.png,"Physical addresses, Passwords",True,True,False,True,True,True,False
Murilo Ramos,murilo.ramos@example.com,304.291.756-80,+55 (011) 0849 8412,Credential Dump,example.com,2022-08-11,2022-10-18,2022-10-24,3,Magnam ad tempore nisi eaque aut quidem. Ducimus aliquam sapiente alias quas.,/logos/example_com.png,"Passwords, Usernames",True,False,False,False,False,False,False
Murilo Rocha,murilo.rocha@example.com,865.071.432-35,(061) 2064-7571,Data Breach,example.com,2021-04-23,2021-07-08,2021-08-02,5,Similique voluptas natus voluptate. Reiciendis deserunt voluptates. Magni modi non delectus.,/logos/example_com.png,"Passwords, Phone numbers, Usernames",True,True,False,True,False,False,True
Vicente Oliveira,vicente.oliveira@testmail.com,721.594.068-30,+55 51 5760 1536,Email Leak,testmail.com,2020-05-21,2020-06-27,2020-07-10,6,Quae fuga aspernatur dolore modi. Magni ipsum vitae similique nesciunt quidem ab.,/logos/testmail_com.png,"Email addresses, Phone numbers",True,True,True,True,True,True,False
Stella Cavalcanti,stella.cavalcanti@testmail.com,182.670.945-20,+55 21 7122-1997,Email Leak,testmail.com,2023-07-22,2023-09-07,2023-09-19,1,Repellat saepe provident necessitatibus harum.,/logos/testmail_com.png,"Email addresses, Phone numbers",False,False,False,True,False,False,True
Milena Freitas,milena.freitas@example.com,654.817.203-53,+55 71 5274 6458,Credential Dump,example.com,2023-05-08,2023-07-06,2023-07-16,5,Maiores vitae nam laboriosam sint quidem sunt id. Accusamus nulla corporis numquam laborum culpa.,/logos/example_com.png,Physical addresses,True,False,False,True,False,True,False
Daniela Caldeira,daniela.caldeira@dataleak.org,260.513.498-98,+55 11 8092 8268,Credential Dump,dataleak.org,2021-01-11,2021-03-30,2021-04-22,4,Cumque enim repellat culpa. Odit soluta in aliquid. Odio neque corporis deserunt nisi eligendi.,/logos/dataleak_org.png,"Email addresses, Phone numbers, Usernames",True,True,False,False,True,False,False
Sr. Danilo Castro,sr.danilo.castro@example.com,187.036.425-26,+55 84 4012-0654,Data Breach,example.com,2020-06-09,2020-08-13,2020-08-19,2,Ad ratione deserunt velit iure consectetur. Velit natus ad.,/logos/example_com.png,Email addresses,False,True,True,False,False,True,True
Dra. Marina Teixeira,dra.marina.teixeira@example.com,537.896.214-55,+55 41 9639-1372,Email Leak,example.com,2020-12-07,2021-01-17,2021-02-03,3,Praesentium nihil similique non. Sapiente vel earum nobis ad officiis. Accusamus recusandae enim.,/logos/example_com.png,Passwords,True,False,True,False,True,False,True
Dr. Antônio Souza,dr.antônio.souza@dataleak.org,670.392.481-31,+55 (041) 8781-3395,Data Breach,dataleak.org,2021-02-04,2021-05-03,2021-05-31,4,Id quos doloremque quidem facere excepturi.,/logos/dataleak_org.png,"Physical addresses, Usernames",True,True,False,True,False,True,False
Valentina Rodrigues,valentina.rodrigues@example.com,768.041.932-96,+55 (051) 5116 8371,Email Leak,example.com,2020-10-12,2020-10-13,2020-11-09,9,Explicabo error ratione voluptas laboriosam molestias. Exercitationem provident sit.,/logos/example_com.png,Physical addresses,True,False,True,False,True,True,True
João Miguel Dias,joão.miguel.dias@example.com,136.578.029-59,+55 (031) 5308 6818,Credential Dump,example.com,2023-07-13,2023-09-13,2023-09-19,1,Consectetur omnis quo laudantium. Omnis labore accusantium delectus.,/logos/example_com.png,"Email addresses, Passwords, Usernames",False,False,False,False,True,True,False
Sarah Aragão,sarah.aragão@dataleak.org,153.094.628-05,+55 (061) 5904-4756,Credential Dump,dataleak.org,2023-07-18,2023-09-05,2023-09-17,8,Error voluptatibus nam ratione dolore aperiam. Autem magnam pariatur ad.,/logos/dataleak_org.png,"Usernames, Phone numbers, Email addresses",False,False,True,False,True,False,True
Carolina Ribeiro,carolina.ribeiro@testmail.com,854.307.619-66,+55 (061) 0501 2502,Credential Dump,testmail.com,2020-09-04,2020-12-02,2020-12-13,3,Quaerat sint maxime quaerat tempora. Repellat quae rerum quisquam officia ea fugit earum.,/logos/testmail_com.png,"Phone numbers, Usernames",True,True,True,False,False,True,False
Alice Ferreira,alice.ferreira@dataleak.org,801.439.256-60,+55 (021) 4132 4896,Credential Dump,dataleak.org,2023-12-21,2024-01-18,2024-01-31,10,Exercitationem rerum omnis dolores. Animi sint in culpa eveniet.,/logos/dataleak_org.png,"Email addresses, Physical addresses, Passwords",True,True,False,False,True,False,False
Luiz Otávio Almeida,luiz.otávio.almeida@dataleak.org,230.614.857-08,+55 (084) 3457-0160,Email Leak,dataleak.org,2022-07-04,2022-07-19,2022-08-11,5,A fugit in enim laudantium nisi. Doloribus necessitatibus nesciunt sit occaecati.,/logos/dataleak_org.png,Usernames,False,True,True,False,True,True,True
Enrico Monteiro,enrico.monteiro@example.com,620.381.597-77,21 9575-5768,Data Breach,example.com,2022-08-18,2022-11-14,2022-12-12,9,"Quo error ratione. Inventore sunt ex pariatur hic.
Praesentium incidunt reiciendis rerum.",/logos/example_com.png,"Physical addresses, Phone numbers, Email addresses",True,False,True,False,True,False,False
Vitor Hugo Azevedo,vitor.hugo.azevedo@example.com,408.167.259-85,0800 919 6330,Data Breach,example.com,2021-08-16,2021-10-16,2021-10-24,1,Deserunt sequi blanditiis dolor nihil. Eius deleniti ex mollitia iusto.,/logos/example_com.png,Usernames,True,False,True,True,True,True,False
Dra. Alice Peixoto,dra.alice.peixoto@dataleak.org,438.950.726-56,(051) 3900-1871,Email Leak,dataleak.org,2023-01-18,2023-03-04,2023-03-28,5,Pariatur porro perferendis voluptas eaque soluta. Fugit nihil fugiat culpa odit tempore.,/logos/dataleak_org.png,"Phone numbers, Email addresses",False,False,False,False,False,False,False
Milena da Luz,milena.da.luz@dataleak.org,691.745.328-55,+55 (084) 6177 5025,Data Breach,dataleak.org,2021-12-12,2022-02-01,2022-02-19,6,Eum vero doloribus vitae modi.,/logos/dataleak_org.png,"Phone numbers, Physical addresses, Email addresses",True,True,True,False,False,True,True
Leandro Castro,leandro.castro@example.com,641.320.857-08,+55 41 2188 6610,Data Breach,example.com,2023-05-10,2023-07-12,2023-07-18,7,Dicta magni beatae perferendis. Nostrum nesciunt autem sunt quisquam non.,/logos/example_com.png,"Usernames, Passwords",False,True,False,False,False,True,True
Sr. Ryan Silva,sr.ryan.silva@testmail.com,183.045.679-20,(061) 9205-6040,Credential Dump,testmail.com,2022-12-07,2023-01-01,2023-01-16,5,Quasi similique architecto doloremque perspiciatis.,/logos/testmail_com.png,"Email addresses, Physical addresses, Usernames",False,True,False,False,True,False,True
Sr. Kevin Almeida,sr.kevin.almeida@dataleak.org,165.042.938-05,+55 (051) 9666 7687,Email Leak,dataleak.org,2023-06-01,2023-06-19,2023-06-22,7,Molestiae voluptas ipsa sequi quos soluta. Eligendi repellat alias.,/logos/dataleak_org.png,"Passwords, Usernames",False,False,True,True,False,False,False
Renan das Neves,renan.das.neves@dataleak.org,750.431.862-08,+55 41 6571 9143,Credential Dump,dataleak.org,2021-12-21,2021-12-31,2022-01-17,8,Non consectetur magnam hic. Harum laboriosam reiciendis earum.,/logos/dataleak_org.png,Passwords,False,False,True,False,False,True,True
Samuel Gonçalves,samuel.gonçalves@testmail.com,872.549.361-28,(071) 5873-4482,Email Leak,testmail.com,2021-03-11,2021-03-27,2021-03-30,3,Fugiat cum corporis. Molestiae ullam dicta cumque perferendis.,/logos/testmail_com.png,Email addresses,True,True,False,False,True,True,True
Sofia Souza,sofia.souza@example.com,965.720.831-95,51 8577 8529,Email Leak,example.com,2023-02-17,2023-04-14,2023-05-04,1,"Quod earum doloremque culpa incidunt eaque reprehenderit.
Repellat eius veritatis deleniti sequi.",/logos/example_com.png,"Email addresses, Usernames",False,True,True,True,False,False,True
Júlia da Conceição,júlia.da.conceição@testmail.com,461.387.920-50,71 3220 3643,Credential Dump,testmail.com,2023-07-24,2023-08-09,2023-09-04,10,"Minima nobis cupiditate atque.
Eveniet pariatur sint non molestiae vero. Eos accusantium quos.",/logos/testmail_com.png,Email addresses,False,True,True,False,True,True,False
Sr. Matheus Rocha,sr.matheus.rocha@example.com,038.412.965-05,(061) 8566-9572,Data Breach,example.com,2024-02-16,2024-03-04,2024-03-27,9,"Porro ullam ipsa.
Soluta modi inventore.",/logos/example_com.png,Usernames,True,True,True,True,False,False,True
Yasmin Freitas,yasmin.freitas@example.com,489.617.520-49,+55 (011) 5174-7723,Email Leak,example.com,2023-08-05,2023-09-27,2023-10-22,7,Voluptas quaerat distinctio quos blanditiis. Facilis ratione cumque perspiciatis eveniet.,/logos/example_com.png,"Usernames, Passwords",True,False,False,True,True,False,False
Erick Monteiro,erick.monteiro@example.com,647.851.209-67,+55 21 9279 3788,Credential Dump,example.com,2023-02-22,2023-05-11,2023-06-10,2,Earum impedit dolorum illo culpa quo ullam. Quo fugit consequuntur dolor tempore earum eos.,/logos/example_com.png,"Usernames, Physical addresses, Email addresses",True,True,True,False,False,True,True
Pietra Novaes,pietra.novaes@dataleak.org,024.539.617-99,+55 81 9630-7328,Email Leak,dataleak.org,2022-12-23,2023-03-01,2023-03-04,3,Voluptatibus cum natus ipsam ab. Deleniti blanditiis odio dolor.,/logos/dataleak_org.png,"Email addresses, Usernames",True,True,False,False,True,True,False
Gabriel Costela,gabriel.costela@example.com,150.684.729-30,0800 642 9354,Data Breach,example.com,2023-04-14,2023-04-16,2023-05-16,1,Alias quo laudantium excepturi autem rerum ad quod. Voluptatum incidunt ad.,/logos/example_com.png,"Phone numbers, Usernames",False,True,True,True,False,False,True
Diego Cavalcanti,diego.cavalcanti@example.com,324.861.059-05,(061) 4702-7892,Credential Dump,example.com,2023-01-14,2023-04-10,2023-05-07,9,Fugit nam expedita labore libero voluptas animi nostrum. Impedit provident delectus.,/logos/example_com.png,Physical addresses,False,True,False,True,True,True,True
Lucas Fernandes,lucas.fernandes@dataleak.org,806.547.921-94,+55 (084) 4276-5341,Email Leak,dataleak.org,2020-10-07,2020-10-16,2020-11-04,10,Earum consectetur quia voluptatem aperiam. Repellendus ullam praesentium aperiam magnam.,/logos/dataleak_org.png,"Usernames, Passwords, Phone numbers",False,False,False,True,False,False,False
Miguel Gomes,miguel.gomes@dataleak.org,184.950.267-67,(041) 1065 6821,Credential Dump,dataleak.org,2022-04-08,2022-05-16,2022-06-11,4,Error ipsa ut ab asperiores. Eligendi iste quam animi.,/logos/dataleak_org.png,Usernames,False,True,True,True,False,True,True
Henrique Moura,henrique.moura@dataleak.org,685.327.409-10,+55 31 4240 0281,Credential Dump,dataleak.org,2022-03-17,2022-04-20,2022-05-05,1,Distinctio aut ab.,/logos/dataleak_org.png,"Phone numbers, Passwords, Usernames",True,False,True,True,False,False,True
Dr. Heitor Farias,dr.heitor.farias@testmail.com,465.923.871-73,+55 81 5870-3312,Email Leak,testmail.com,2021-01-18,2021-01-29,2021-02-21,8,Mollitia corporis sit nulla. Soluta accusantium voluptatem magni.,/logos/testmail_com.png,"Physical addresses, Phone numbers, Passwords",False,True,True,True,True,True,False
Thiago Martins,thiago.martins@dataleak.org,207.583.619-12,(011) 8456-9500,Data Breach,dataleak.org,2020-10-15,2020-11-16,2020-12-11,6,Inventore cupiditate corporis sint voluptates id numquam. Illum beatae tempora nulla.,/logos/dataleak_org.png,Phone numbers,True,True,False,True,True,False,False
Catarina Martins,catarina.martins@dataleak.org,917.823.504-97,(041) 2424-3576,Credential Dump,dataleak.org,2024-04-22,2024-05-06,2024-05-14,3,Pariatur sunt sapiente accusantium. Molestias quam cum maxime.,/logos/dataleak_org.png,Physical addresses,True,False,False,True,False,False,False
Sra. Maria Clara Oliveira,sra.maria.clara.oliveira@testmail.com,862.013.947-96,(011) 2567 9429,Data Breach,testmail.com,2022-11-21,2022-11-28,2022-12-21,7,Sapiente magnam dolorum quasi ex ad aliquam. Ea quas placeat molestiae quidem.,/logos/testmail_com.png,Usernames,True,False,True,False,False,False,True
João Pedro Nogueira,joão.pedro.nogueira@testmail.com,271.450.638-08,+55 (051) 1820 9976,Credential Dump,testmail.com,2024-03-17,2024-04-07,2024-04-10,4,Error ullam error esse perferendis neque dolor. Nisi nulla sunt. Excepturi animi quae dolor.,/logos/testmail_com.png,"Passwords, Phone numbers",True,False,False,False,False,False,True
Vitória Gomes,vitória.gomes@example.com,628.045.793-10,(071) 2598 1311,Data Breach,example.com,2022-01-16,2022-03-04,2022-03-12,2,Aspernatur deleniti earum asperiores culpa beatae. Eos cum sapiente suscipit.,/logos/example_com.png,Passwords,True,True,True,True,True,False,False
Thales Souza,thales.souza@example.com,680.341.295-42,31 9385-9296,Data Breach,example.com,2021-07-14,2021-08-22,2021-09-19,4,Delectus incidunt laudantium ex rerum alias. Officiis tempore minima exercitationem.,/logos/example_com.png,"Email addresses, Phone numbers, Usernames",True,True,False,True,False,True,True
Arthur da Rosa,arthur.da.rosa@dataleak.org,574.360.982-92,(021) 5751 3541,Data Breach,dataleak.org,2021-05-23,2021-06-17,2021-06-22,8,Totam voluptatum commodi deleniti exercitationem quod ipsa quisquam. Nostrum nobis reiciendis.,/logos/dataleak_org.png,"Usernames, Passwords, Physical addresses",True,True,False,False,False,True,True
Dra. Beatriz Oliveira,dra.beatriz.oliveira@testmail.com,129.758.603-40,(071) 5489 0698,Credential Dump,testmail.com,2022-01-23,2022-03-22,2022-03-29,1,Iusto perspiciatis natus vel.,/logos/testmail_com.png,"Phone numbers, Usernames",False,True,True,True,True,False,True
Kamilly Melo,kamilly.melo@dataleak.org,012.973.684-87,81 5383-0146,Data Breach,dataleak.org,2022-06-21,2022-08-31,2022-09-01,9,Voluptatum error non possimus voluptatum. Sed deserunt facilis.,/logos/dataleak_org.png,"Usernames, Phone numbers, Email addresses",True,True,True,True,True,True,True
Lara Souza,lara.souza@example.com,715.386.902-68,(061) 9220-9513,Credential Dump,example.com,2020-08-09,2020-10-15,2020-10-29,1,Ut quas velit illum doloribus illum qui.,/logos/example_com.png,"Physical addresses, Passwords",False,True,True,False,False,True,False
Luigi Almeida,luigi.almeida@testmail.com,312.567.049-70,(041) 5203 6043,Credential Dump,testmail.com,2022-10-06,2022-10-16,2022-11-08,2,Recusandae occaecati amet ipsum esse. Iure quibusdam earum aliquam quo quia at. Vitae quos animi.,/logos/testmail_com.png,"Physical addresses, Email addresses, Passwords",False,False,True,False,True,False,True
